token_id,Background,Skin,Hair Style,Hair Color,Eyes,Nose,Mouth,Suit,Tie,Neckwear,Face Accessory,Broker Badge,Pocket Square
1,Slate,Shadow,Tall,Dark Brown,Violet,Brown - Flat,Smile,Steel,Teal,Tie,Crown,Whale,
2,Slate,Lemon,Wavy,Light Brown,Amber,,Neutral,Navy,Blue,Tie,Gold Rims,Diamond Hands,
3,Sky Blue,Alien,Classic Side,Brown,Navy,Taupe - Wide,Neutral,Slate,Gold,Tie,Bluetooth Headset,,
4,Steel,Marshmallow,Tall,Light Brown,Teal,Dark Brown - Flat,Smirk,Forest,Purple,Tie,Headset,,
5,Pale Blue,Human,Short Crop,Charcoal,Navy,Brown - Wide,Blonde Mustache,Purple,Green,Tie,Bull Horns,,
6,Pale Blue,Human,Long Side,Dark Brown,Teal,Dark Brown - Flat,Neutral,Forest,Teal,Bow Tie,Monocle,,
7,Light Blue,Human,Bald,,Brown,,Smile,Charcoal,Green,Tie,Headset,,
8,Bloomberg Orange,Robot,Classic Side,Brown,Navy,Pink - Flat,Mustache,Charcoal,Purple,Bow Tie,Bluetooth Headset,Diamond Hands,
9,Tan,Devil,Classic Side,Blonde,Blue,Brown - Flat,Beard,Slate,Red,Tie,Headset,,
10,Tan,Marshmallow,Bald,,Brown,Dark Brown - Flat,Neutral,Slate,Teal,Tie,,Diamond Hands,
11,Steel,Human,Bald,,Slate Gray,Pink - Flat,Mustache,Slate,Purple,Tie,Banded Frameless,,
12,Slate,Human,Bald,,Violet,Taupe - Flat,Open,Slate,Red,Bow Tie,Headset,Diamond Hands,
13,Light Blue,Alien,Wide Top,Gray Brown,Slate Gray,Taupe - Flat,Smile,Slate,Red,Tie,3D Glasses,,
14,Tan,Alien,Classic Side,Jet Black,Green,Pink - Wide,Beard,Navy,Green,Tie,Headset,Diamond Hands,
15,Pale Blue,Robot,Tall,Charcoal,Green,Brown - Wide,Smirk,Charcoal,Red,Tie,,Insider,
16,Bloomberg Orange,Human,Wavy,Dark Brown,Violet,Taupe - Flat,Open,Purple,Gold,Tie,Monocle,Insider,
17,Pale Blue,Human,Wide Top,Brown,Slate Gray,,Gray Beard,Charcoal,Blue,Tie,Bluetooth Headset,,
18,Light Blue,Human,Classic Side,Light Brown,Brown,Brown - Wide,Open,Purple,Blue,Tie,Devil Horns,,
19,Steel,Robot,Bald,,Amber,Taupe - Wide,Neutral,Red,Purple,Bow Tie,Bluetooth Headset,,
20,Light Blue,Marshmallow,Wavy,Jet Black,Blue,Pink - Wide,Gray Beard,Steel,Green,Tie,3D Glasses,,
21,Slate,Human,Bald,,Brown,Dark Brown - Wide,Mustache,Forest,Gold,Tie,Bull Horns,,
22,Sky Blue,Human,Short Crop,Brown,Teal,Taupe - Wide,Smile,Purple,Blue,Tie,,,
23,Tan,Human,Wide Top,Gray Brown,Amber,Pink - Wide,Smirk,Slate,Green,Tie,Sunglasses,Diamond Hands,
24,Sky Blue,Human,Wide Top,Jet Black,Navy,,Smile,Navy,Green,Tie,,,
25,Pale Blue,Human,Wide Top,Gray Brown,Teal,Dark Brown - Wide,Neutral,Slate,Purple,Tie,Golden Devil Horns,,
26,Trading Floor Green,Human,Long Side,Dark Brown,Teal,Brown - Flat,Mustache,Steel,Gold,Bow Tie,Headset,Whale,
27,Tan,Shadow,Classic Side,Charcoal,Teal,Pink - Flat,Smile,Purple,Red,Tie,Blue Boom Headset,,
